som_size,learning_rate,sigma,workload_pattern,avg_response_time,avg_utilization,load_variance,rejection_rate,load_balance_score,performance_score,execution_time,load_distribution
"(8, 8)",0.5,2.5,periodic,0.2780090922701687,0.5760974164846002,0.026989242645792652,0.82,0.02908318631813848,0.3946845531825527,0.023272037506103516,"[99, 35, 36, 25, 44, 46, 6, 109]"
"(8, 8)",0.7,1.0,mixed,0.2331933156682572,0.5077120200721362,0.07169427270012982,0.8225,0.02909903460679321,0.38904297565428225,0.028604745864868164,"[56, 44, 19, 17, 122, 50, 18, 74]"
"(8, 8)",0.7,1.0,bursty,0.2681948995231212,0.5920415057679862,0.04076938855279748,0.8225,0.03478397119768949,0.4009001922069408,0.02189040184020996,"[118, 33, 36, 39, 30, 33, 46, 65]"
"(8, 8)",0.7,1.0,periodic,0.28534526331911936,0.5863403170709175,0.025600942045446964,0.7775,0.039485251138959426,0.4070139620474642,0.028379201889038086,"[44, 99, 20, 57, 73, 37, 25, 45]"
"(8, 8)",0.7,1.5,mixed,0.23633876777253054,0.4775515422409474,0.04484729240238352,0.84,0.046056811161700885,0.38397929139453324,0.021227598190307617,"[84, 60, 20, 66, 21, 53, 57, 39]"
"(8, 8)",0.7,1.5,bursty,0.2513678874300401,0.5615149400013797,0.035626183387936605,0.795,0.025281154693580613,0.40062498711103867,0.022044897079467773,"[69, 15, 44, 32, 42, 43, 13, 142]"
"(8, 8)",0.7,1.5,periodic,0.27408391916021696,0.5231974966398287,0.05186522365809052,0.785,0.025947082328700105,0.3908869208223928,0.03728294372558594,"[39, 29, 51, 28, 37, 49, 146, 21]"
"(8, 8)",0.7,2.0,mixed,0.22684881992470982,0.46018068840991777,0.07233310999552041,0.8425,0.032077506915040375,0.37768829594920045,0.020200014114379883,"[115, 37, 42, 11, 73, 24, 42, 56]"
"(8, 8)",0.7,2.0,bursty,0.24259941256066478,0.5260030220310278,0.041152285513400416,0.82,0.028407793068941502,0.3911523176891219,0.01872992515563965,"[139, 33, 37, 35, 36, 35, 53, 32]"
"(8, 8)",0.7,2.0,periodic,0.2685341795550499,0.5649052449026418,0.021909617483595652,0.8,0.031222472542968973,0.3988412213778445,0.02397465705871582,"[27, 98, 43, 20, 52, 24, 32, 104]"
"(8, 8)",0.7,2.5,mixed,0.24933583687693098,0.5240413465408431,0.043577849212118276,0.825,0.03976053130350647,0.39186401580977287,0.019455432891845703,"[81, 77, 17, 35, 36, 31, 41, 82]"
"(8, 8)",0.7,2.5,bursty,0.2588312691487275,0.5225129044380357,0.07772010833374238,0.835,0.04437570063178396,0.38913158282517946,0.020463228225708008,"[55, 58, 90, 27, 39, 15, 61, 55]"
"(8, 8)",0.7,2.5,periodic,0.2912000123862117,0.561274777531912,0.02802707516596913,0.84,0.04212719767791501,0.3892351200158929,0.02014636993408203,"[38, 36, 50, 21, 86, 49, 33, 87]"
"(10, 10)",0.1,1.0,mixed,0.27406229139402244,0.47275386912484485,0.05028024496240896,0.8925,0.01617991646680787,0.3563720426535647,0.016350984573364258,"[8, 8, 24, 4, 35, 18, 125, 178]"
"(10, 10)",0.1,1.0,bursty,0.2754521490850663,0.605320981094901,0.017444048621408092,0.785,0.08056257029410699,0.4234436729500717,0.019971370697021484,"[35, 36, 59, 43, 50, 49, 57, 71]"
"(10, 10)",0.1,1.0,periodic,0.28370587705292644,0.5956195752716412,0.019299607369726548,0.765,0.027706407387836793,0.40813422984073305,0.02483654022216797,"[17, 16, 34, 44, 49, 82, 31, 127]"
"(10, 10)",0.1,1.5,mixed,0.2728829846949286,0.5975987823698137,0.0162828803087057,0.825,0.0391218732779249,0.4019417692074741,0.025048017501831055,"[29, 53, 29, 59, 46, 21, 59, 104]"
"(10, 10)",0.1,1.5,bursty,0.27122336619288595,0.553870541829076,0.026473661701335274,0.8,0.029500641201564825,0.3956174455804835,0.028197288513183594,"[27, 57, 60, 36, 86, 12, 12, 110]"
"(10, 10)",0.1,1.5,periodic,0.2867912513485095,0.5765518373399525,0.0259019503922462,0.8475,0.015907160243555398,0.38372056313472164,0.01981663703918457,"[32, 14, 23, 26, 32, 44, 17, 212]"
"(10, 10)",0.1,2.0,mixed,0.2648913429544432,0.5920191070057229,0.013272839145376823,0.835,0.03259725206422665,0.3983575192993629,0.03151369094848633,"[65, 56, 31, 79, 29, 19, 16, 105]"
"(10, 10)",0.1,2.0,bursty,0.2454640008312144,0.4973241566856467,0.06443973686951437,0.7975,0.022077750729576847,0.38746224027081233,0.022840261459350586,"[55, 61, 31, 68, 22, 8, 4, 151]"
"(10, 10)",0.1,2.0,periodic,0.27269887881665983,0.5535144971347712,0.027801218650028384,0.7925,0.02671305948320645,0.3959363617716618,0.022229671478271484,"[67, 33, 22, 44, 24, 19, 54, 137]"
"(10, 10)",0.1,2.5,mixed,0.2686771493479689,0.5813306256910724,0.015320292156680935,0.855,0.03552682597961475,0.39239095264369356,0.01968097686767578,"[60, 15, 27, 34, 46, 50, 57, 111]"
"(10, 10)",0.1,2.5,bursty,0.258553047039843,0.5250429254064652,0.03125019538178328,0.8125,0.01672345439362164,0.38589459655351355,0.026623964309692383,"[68, 26, 25, 25, 15, 16, 25, 200]"
"(10, 10)",0.1,2.5,periodic,0.2566485240189757,0.5020035951720745,0.029328162414081156,0.8425,0.018614707062219876,0.3762153681811314,0.02392745018005371,"[37, 5, 13, 38, 10, 46, 73, 178]"
"(10, 10)",0.3,1.0,mixed,0.27631989910184024,0.5842642274403222,0.019363629957871057,0.7925,0.050215221638059526,0.4084682015277086,0.022591590881347656,"[50, 40, 32, 40, 55, 36, 51, 96]"
"(10, 10)",0.3,1.0,bursty,0.28157367393257327,0.5437868883739757,0.032135593749585134,0.8425,0.02227290142019519,0.38102645362173093,0.03604555130004883,"[31, 43, 22, 17, 23, 72, 34, 158]"
"(10, 10)",0.3,1.0,periodic,0.298881918895829,0.6239371400485245,0.010550557884885578,0.8025,0.02813457823345083,0.4036956790332502,0.02362847328186035,"[33, 13, 43, 26, 19, 57, 92, 117]"
"(10, 10)",0.3,1.5,mixed,0.2646642902737177,0.5809949572264566,0.018805775189807448,0.845,0.04619828999897138,0.39827558207259406,0.0262453556060791,"[62, 40, 43, 42, 28, 34, 53, 98]"
"(10, 10)",0.3,1.5,bursty,0.2754282684252191,0.6054610800287958,0.010278014725427477,0.82,0.03336210660572551,0.4023159576309319,0.02671957015991211,"[39, 102, 42, 31, 28, 33, 28, 97]"
"(10, 10)",0.3,1.5,periodic,0.2885565843370317,0.578626003498333,0.013091633717684127,0.8375,0.025895675917686038,0.38881255004946597,0.033278465270996094,"[35, 37, 46, 50, 23, 26, 36, 147]"
"(10, 10)",0.3,2.0,mixed,0.2697619534186916,0.6243269340155493,0.010672696964826324,0.815,0.0283901131529974,0.4066471782433439,0.019430875778198242,"[55, 25, 47, 15, 28, 94, 21, 115]"
"(10, 10)",0.3,2.0,bursty,0.30880852082819993,0.5980623068865794,0.04190290183519023,0.8575,0.027897045265239524,0.38569768657737385,0.030049800872802734,"[45, 55, 20, 13, 43, 21, 77, 126]"
"(10, 10)",0.3,2.0,periodic,0.2622777373688353,0.581812701472061,0.032520987378491226,0.7825,0.020045050751913464,0.4035416588327225,0.025886058807373047,"[78, 42, 21, 26, 19, 12, 169, 33]"
"(10, 10)",0.3,2.5,mixed,0.25613732102978826,0.4571903015321108,0.06798199846878566,0.865,0.021360745832135954,0.36367367575720144,0.02333974838256836,"[22, 26, 45, 20, 94, 11, 29, 153]"
"(10, 10)",0.3,2.5,bursty,0.29498292301397805,0.5932660403468895,0.0260609661119652,0.8675,0.023863285166358612,0.3839754801912596,0.024003267288208008,"[13, 35, 21, 20, 55, 55, 51, 150]"
"(10, 10)",0.3,2.5,periodic,0.3023301058418233,0.6142989751396232,0.013826982890497663,0.83,0.023713328040423736,0.3943301360096499,0.020114660263061523,"[25, 17, 45, 29, 25, 45, 61, 153]"
"(10, 10)",0.5,1.0,mixed,0.2540530811798089,0.5109787546390747,0.05466483143387813,0.82,0.03477852216152855,0.3878536310935532,0.019750356674194336,"[53, 18, 48, 23, 65, 39, 113, 41]"
"(10, 10)",0.5,1.0,bursty,0.24987681136666196,0.5173511834611842,0.04641106179327541,0.825,0.027635589467678544,0.38678456808131856,0.02451467514038086,"[13, 60, 22, 88, 15, 101, 16, 85]"
"(10, 10)",0.5,1.0,periodic,0.28883927726173114,0.6090528306527865,0.01602826877503725,0.8175,0.0294808205428428,0.39992239262148654,0.023543596267700195,"[32, 78, 26, 52, 18, 31, 39, 124]"
"(10, 10)",0.5,1.5,mixed,0.263038612245073,0.5852695874947504,0.016909889583144485,0.7925,0.04941838499097926,0.41090186270783025,0.015152215957641602,"[47, 62, 45, 27, 31, 78, 32, 78]"
"(10, 10)",0.5,1.5,bursty,0.2679522623072134,0.5790001101569185,0.034588297801395246,0.805,0.030634875945607074,0.40059245234821944,0.02379584312438965,"[51, 22, 30, 32, 25, 58, 56, 126]"
"(10, 10)",0.5,1.5,periodic,0.276325166165593,0.5955299349580636,0.014746149048161,0.8075,0.0497389372927,0.4075774877338524,0.015189647674560547,"[56, 29, 36, 89, 40, 31, 53, 66]"
"(10, 10)",0.5,2.0,mixed,0.23523108235573717,0.44920306391064063,0.11100707224772989,0.8475,0.034019921426887756,0.37341612535226043,0.015122652053833008,"[34, 28, 62, 21, 27, 38, 96, 94]"
"(10, 10)",0.5,2.0,bursty,0.2730737891191963,0.5759513323878329,0.014575724842957263,0.84,0.03380295570577562,0.39298128012150285,0.023021221160888672,"[53, 29, 46, 36, 30, 42, 41, 123]"
